volut;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;4.0;0.0;5.0;2.0;3.0;4.0;4.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
fare;0.0;0.0;0.0;0.0;8.0;36.0;20.0;13.0;1.0;3.0;6.0;25.0;22.0;15.0;12.0;3.0;0.0;0.0;6.0;21.0;28.0;27.0;16.0;11.0;3.0;0.0;3.0;7.0;13.0;13.0;18.0;7.0;2.0;0.0;10.0;19.0;8.0;15.0;14.0;6.0;2.0;0.0;11.0;24.0;20.0;16.0;21.0;5.0;1.0;1.0;15.0;18.0;16.0;18.0;31.0;11.0;6.0;2.0;3.0;17.0;13.0;10.0;12.0;3.0;1.0;0.0;4.0;8.0;7.0;16.0;14.0;40.0;39.0;16.0;57.0;61.0;31.0;43.0;34.0;9.0;4.0;1.0;10.0;19.0;20.0;0.0;0.0;0.0;0.0
possibil;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;3.0;1.0;2.0;0.0;0.0;1.0;0.0;3.0;4.0;3.0;2.0;0.0;0.0;4.0;3.0;3.0;6.0;5.0;0.0;0.0;0.0;0.0;6.0;8.0;0.0;5.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;2.0;3.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;4.0;0.0;0.0;0.0;0.0;1.0;6.0;3.0;2.0;7.0;0.0;7.0;11.0;6.0;3.0;3.0;5.0;1.0;0.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0
govern;0.0;0.0;0.0;0.0;4.0;37.0;15.0;1.0;1.0;0.0;8.0;26.0;26.0;20.0;19.0;0.0;3.0;1.0;11.0;28.0;25.0;29.0;21.0;12.0;2.0;1.0;14.0;10.0;17.0;21.0;20.0;8.0;1.0;0.0;10.0;14.0;23.0;22.0;28.0;9.0;0.0;1.0;11.0;18.0;26.0;12.0;40.0;14.0;0.0;0.0;10.0;8.0;12.0;14.0;31.0;14.0;1.0;1.0;1.0;4.0;5.0;4.0;2.0;4.0;1.0;0.0;1.0;3.0;2.0;5.0;5.0;68.0;63.0;7.0;46.0;51.0;61.0;51.0;50.0;14.0;1.0;0.0;20.0;25.0;31.0;0.0;0.0;0.0;0.0
ringraz;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;4.0;3.0;1.0;3.0;3.0;2.0;5.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
rider;0.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;5.0;2.0;1.0;1.0;0.0;0.0;3.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;3.0;4.0;1.0;5.0;4.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;6.0;6.0;2.0;3.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
via;0.0;0.0;0.0;0.0;1.0;2.0;7.0;3.0;2.0;0.0;1.0;4.0;2.0;9.0;1.0;2.0;1.0;0.0;2.0;27.0;5.0;6.0;9.0;2.0;3.0;0.0;2.0;7.0;24.0;6.0;5.0;3.0;1.0;0.0;6.0;6.0;16.0;8.0;5.0;3.0;0.0;0.0;5.0;9.0;38.0;16.0;7.0;3.0;0.0;0.0;8.0;6.0;5.0;9.0;4.0;4.0;0.0;0.0;0.0;7.0;3.0;3.0;1.0;1.0;0.0;0.0;0.0;3.0;6.0;3.0;5.0;11.0;7.0;1.0;11.0;9.0;14.0;11.0;9.0;3.0;1.0;3.0;2.0;8.0;8.0;0.0;0.0;0.0;0.0
coerenz;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;1.0;4.0;0.0;2.0;0.0;1.0;0.0;1.0;1.0;0.0;2.0;1.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;4.0;0.0;6.0;1.0;0.0;5.0;6.0;2.0;0.0;0.0;1.0;4.0;4.0;0.0;0.0;0.0;0.0
lavet;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;1.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0;0.0;7.0;2.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
altra;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;4.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;4.0;5.0;2.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;3.0;2.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
